Id_hecho,Rol,Víctima,Sexo,Edad,Días_de_muerte_post_accidente
2016-0001,Conductor,Moto,Masculino,19,0.0
2016-0002,Conductor,Auto,Masculino,70,0.0
2016-0003,Conductor,Moto,Masculino,30,0.0
2016-0004,Conductor,Moto,Masculino,18,Sd
2016-0005,Conductor,Moto,Masculino,29,11.0
2016-0008,Conductor,Moto,Masculino,30,0.0
2016-0009,Pasajero_acompañante,Moto,Masculino,29,2.0
2016-0010,Conductor,Moto,Masculino,18,0.0
2016-0012,Conductor,Moto,Masculino,22,0.0
2016-0013,Peaton,Peaton,Masculino,16,0.0
2016-0015,Peaton,Peaton,Femenino,16,0.0
2016-0016,Pasajero_acompañante,Moto,Femenino,19,0.0
2016-0017,Peaton,Peaton,Masculino,59,1.0
2016-0019,Peaton,Peaton,Femenino,65,0.0
2016-0020,Peaton,Peaton,Masculino,59,14.0
2016-0021,Conductor,Auto,Masculino,34,0.0
2016-0022,Pasajero_acompañante,Moto,Masculino,41,Sd
2016-0025,Pasajero_acompañante,Auto,Masculino,34,0.0
2016-0026,Conductor,Auto,Masculino,30,5.0
2016-0027,Pasajero_acompañante,Auto,Masculino,34,Sd
2016-0028,Peaton,Peaton,Masculino,50,0.0
2016-0029,Peaton,Peaton,Masculino,38,0.0
2016-0031,Conductor,Moto,Masculino,21,Sd
2016-0034,Peaton,Peaton,Masculino,52,0.0
2016-0035,Conductor,Moto,Masculino,34,0.0
2016-0036,Pasajero_acompañante,Moto,Masculino,36,0.0
2016-0037,Conductor,Moto,Masculino,20,0.0
2016-0038,Peaton,Peaton,Masculino,29,0.0
2016-0039,Conductor,Moto,Masculino,20,0.0
2016-0041,Conductor,Moto,Masculino,54,0.0
2016-0041,Pasajero_acompañante,Moto,Masculino,Sd,1.0
2016-0043,Peaton,Peaton,Femenino,56,0.0
2016-0044,Conductor,Moto,Masculino,24,0.0
2016-0045,Conductor,Moto,Masculino,Sd,Sd
2016-0047,Peaton,Peaton,Masculino,41,0.0
2016-0048,Peaton,Peaton,Femenino,Sd,Sd
2016-0049,Sd,Sd,Sd,Sd,Sd
2016-0050,Peaton,Peaton,Masculino,78,0.0
2016-0051,Conductor,Moto,Masculino,36,0.0
2016-0052,Sd,Moto,Sd,Sd,Sd
2016-0053,Peaton,Peaton,Masculino,38,0.0
2016-0054,Conductor,Moto,Masculino,30,2.0
2016-0055,Peaton,Peaton,Masculino,79,3.0
2016-0056,Conductor,Moto,Masculino,26,0.0
2016-0058,Peaton,Peaton,Femenino,57,4.0
2016-0059,Peaton,Peaton,Masculino,37,18.0
2016-0064,Peaton,Peaton,Masculino,20,Sd
2016-0065,Peaton,Peaton,Masculino,20,0.0
2016-0067,Pasajero_acompañante,Moto,Femenino,30,Sd
2016-0068,Conductor,Moto,Masculino,58,Sd
2016-0069,Conductor,Auto,Masculino,30,0.0
2016-0073,Conductor,Moto,Masculino,23,Sd
2016-0074,Conductor,Auto,Masculino,60,Sd
2016-0075,Peaton,Peaton,Masculino,42,0.0
2016-0076,Peaton,Peaton,Femenino,53,0.0
2016-0077,Peaton,Peaton,Femenino,Sd,Sd
2016-0078,Conductor,Moto,Masculino,30,Sd
2016-0079,Conductor,Auto,Femenino,51,Sd
2016-0080,Conductor,Auto,Masculino,60,Sd
2016-0081,Conductor,Moto,Masculino,40,Sd
2016-0082,Peaton,Peaton,Masculino,87,8.0
2016-0083,Peaton,Peaton,Femenino,76,1.0
2016-0084,Peaton,Peaton,Masculino,57,9.0
2016-0085,Sd,Moto,Masculino,Sd,Sd
2016-0086,Peaton,Peaton,Masculino,75,1.0
2016-0087,Conductor,Moto,Masculino,23,0.0
2016-0088,Peaton,Peaton,Femenino,70,3.0
2016-0089,Peaton,Peaton,Masculino,35,0.0
2016-0090,Peaton,Peaton,Masculino,60,1.0
2016-0092,Conductor,Moto,Masculino,24,0.0
2016-0093,Conductor,Auto,Masculino,35,2.0
2016-0095,Conductor,Moto,Masculino,29,0.0
2016-0096,Conductor,Moto,Masculino,Sd,Sd
2016-0097,Peaton,Peaton,Masculino,80,17.0
2016-0098,Conductor,Moto,Femenino,43,Sd
2016-0099,Conductor,Cargas,Masculino,45,Sd
2016-0100,Conductor,Moto,Masculino,57,0.0
2016-0101,Sd,Sd,Masculino,67,Sd
2016-0102,Conductor,Moto,Masculino,29,Sd
2016-0104,Conductor,Moto,Masculino,21,1.0
2016-0105,Peaton,Peaton,Masculino,19,9.0
2016-0106,Peaton,Peaton,Masculino,38,Sd
2016-0107,Conductor,Moto,Masculino,21,Sd
2016-0109,Conductor,Auto,Femenino,53,0.0
2016-0110,Peaton,Peaton,Masculino,57,Sd
2016-0111,Conductor,Moto,Masculino,27,0.0
2016-0112,Conductor,Moto,Masculino,24,0.0
2016-0113,Peaton,Peaton,Femenino,60,Sd
2016-0114,Ciclista,Bicicleta,Femenino,55,0.0
2016-0115,Sd,Sd,Masculino,Sd,Sd
2016-0116,Conductor,Moto,Masculino,30,0.0
2016-0117,Conductor,Auto,Masculino,43,Sd
2016-0118,Conductor,Auto,Masculino,27,0.0
2016-0119,Pasajero_acompañante,Sd,Femenino,Sd,Sd
2016-0122,Ciclista,Bicicleta,Masculino,49,0.0
2016-0123,Conductor,Moto,Femenino,58,Sd
2016-0124,Peaton,Peaton,Masculino,67,Sd
2016-0125,Conductor,Moto,Masculino,30,Sd
2016-0126,Conductor,Auto,Masculino,37,Sd
2016-0126,Pasajero_acompañante,Auto,Masculino,60,Sd
2016-0127,Peaton,Peaton,Masculino,50,Sd
2016-0128,Peaton,Peaton,Femenino,81,0.0
2016-0130,Conductor,Moto,Masculino,29,0.0
2016-0131,Peaton,Peaton,Masculino,35,Sd
2016-0132,Pasajero_acompañante,Auto,Masculino,30,0.0
2016-0133,Conductor,Moto,Masculino,41,11.0
2016-0134,Conductor,Moto,Masculino,25,0.0
2016-0135,Peaton,Peaton,Masculino,29,1.0
2016-0136,Conductor,Moto,Sd,Sd,Sd
2016-0137,Conductor,Moto,Masculino,30,Sd
2016-0138,Ciclista,Bicicleta,Femenino,33,Sd
2016-0139,Pasajero_acompañante,Moto,Femenino,35,Sd
2016-0140,Pasajero_acompañante,Pasajeros,Masculino,20,Sd
2016-0142,Conductor,Moto,Masculino,46,0.0
2016-0143,Conductor,Moto,Masculino,35,Sd
2016-0144,Peaton,Peaton,Masculino,83,Sd
2016-0145,Conductor,Moto,Masculino,39,0.0
2016-0146,Peaton,Peaton,Femenino,29,Sd
2016-0147,Pasajero_acompañante,Movil,Masculino,55,0.0
2016-0148,Conductor,Moto,Masculino,Sd,Sd
2016-0150,Pasajero_acompañante,Cargas,Masculino,41,0.0
2016-0151,Peaton,Peaton,Sd,Sd,Sd
2016-0152,Conductor,Moto,Masculino,42,1.0
2016-0153,Peaton,Peaton,Femenino,83,0.0
2016-0154,Conductor,Moto,Masculino,38,Sd
2016-0155,Peaton,Peaton,Femenino,29,Sd
2016-0156,Conductor,Moto,Masculino,23,4.0
2016-0157,Conductor,Moto,Masculino,23,Sd
2016-0159,Conductor,Auto,Masculino,23,Sd
2016-0160,Conductor,Cargas,Masculino,29,0.0
2016-0161,Peaton,Peaton,Masculino,50,0.0
2016-0162,Peaton,Peaton,Masculino,38,25.0
2016-0163,Conductor,Moto,Masculino,23,Sd
2016-0164,Conductor,Auto,Masculino,29,Sd
2016-0165,Ciclista,Bicicleta,Masculino,37,Sd
2016-0168,Conductor,Moto,Masculino,43,0.0
2016-0169,Conductor,Moto,Masculino,24,1.0
2016-0170,Pasajero_acompañante,Moto,Masculino,21,0.0
2016-0171,Conductor,Moto,Sd,Sd,Sd
2016-0172,Conductor,Moto,Masculino,38,0.0
2016-0173,Conductor,Moto,Masculino,35,Sd
2016-0174,Sd,Sd,Sd,Sd,Sd
2016-0175,Peaton,Peaton,Femenino,Sd,Sd
2016-0176,Conductor,Moto,Masculino,28,Sd
2016-0177,Peaton,Peaton,Femenino,27,Sd
2016-0178,Peaton,Peaton,Femenino,7,Sd
2017-0001,Conductor,Moto,Masculino,18,0.0
2017-0003,Pasajero_acompañante,Cargas,Masculino,33,0.0
2017-0007,Peaton,Peaton,Masculino,48,0.0
2017-0008,Conductor,Moto,Masculino,29,0.0
2017-0009,Conductor,Moto,Masculino,36,0.0
2017-0010,Conductor,Moto,Masculino,23,0.0
2017-0011,Pasajero_acompañante,Moto,Femenino,29,0.0
2017-0012,Conductor,Moto,Masculino,30,0.0
2017-0013,Peaton,Peaton,Masculino,4,0.0
2017-0014,Pasajero_acompañante,Moto,Femenino,22,0.0
2017-0015,Peaton,Peaton,Masculino,82,19.0
2017-0016,Conductor,Moto,Masculino,27,1.0
2017-0017,Conductor,Moto,Masculino,32,0.0
2017-0018,Conductor,Moto,Masculino,30,0.0
2017-0021,Conductor,Moto,Masculino,43,0.0
2017-0024,Peaton,Peaton,Masculino,39,0.0
2017-0025,Conductor,Moto,Masculino,23,0.0
2017-0026,Pasajero_acompañante,Auto,Femenino,23,0.0
2017-0026,Conductor,Auto,Masculino,19,0.0
2017-0027,Peaton,Peaton,Masculino,Sd,0.0
2017-0028,Peaton,Peaton,Masculino,87,0.0
2017-0029,Sd,Sd,Masculino,34,0.0
2017-0030,Conductor,Auto,Femenino,27,0.0
2017-0031,Pasajero_acompañante,Auto,Masculino,70,0.0
2017-0032,Pasajero_acompañante,Auto,Femenino,40,0.0
2017-0033,Conductor,Auto,Masculino,28,0.0
2017-0034,Peaton,Peaton,Masculino,43,0.0
2017-0035,Conductor,Auto,Masculino,28,0.0
2017-0035,Pasajero_acompañante,Auto,Masculino,32,0.0
2017-0035,Pasajero_acompañante,Auto,Masculino,30,0.0
2017-0036,Pasajero_acompañante,Moto,Femenino,Sd,0.0
2017-0036,Conductor,Moto,Masculino,20,0.0
2017-0037,Conductor,Moto,Masculino,41,0.0
2017-0038,Conductor,Moto,Femenino,40,0.0
2017-0040,Conductor,Auto,Masculino,43,0.0
2017-0041,Conductor,Moto,Masculino,17,Sd
2017-0042,Conductor,Moto,Masculino,Sd,0.0
2017-0045,Conductor,Moto,Masculino,21,0.0
2017-0047,Conductor,Moto,Masculino,37,0.0
2017-0049,Peaton,Peaton,Masculino,22,0.0
2017-0050,Conductor,Moto,Masculino,46,0.0
2017-0050,Pasajero_acompañante,Moto,Masculino,16,0.0
2017-0051,Conductor,Auto,Masculino,33,0.0
2017-0052,Peaton,Peaton,Femenino,47,0.0
2017-0053,Conductor,Moto,Masculino,28,0.0
2017-0054,Pasajero_acompañante,Moto,Femenino,20,0.0
2017-0055,Conductor,Auto,Masculino,32,0.0
2017-0058,Peaton,Peaton,Masculino,80,0.0
2017-0059,Peaton,Peaton,Femenino,39,0.0
2017-0060,Pasajero_acompañante,Moto,Masculino,30,0.0
2017-0061,Peaton,Peaton,Masculino,47,1.0
2017-0062,Conductor,Moto,Masculino,35,0.0
2017-0063,Peaton,Peaton,Femenino,79,0.0
2017-0064,Pasajero_acompañante,Cargas,Masculino,61,0.0
2017-0065,Ciclista,Bicicleta,Masculino,21,0.0
2017-0066,Peaton,Peaton,Masculino,10,0.0
2017-0067,Conductor,Moto,Masculino,21,0.0
2017-0068,Conductor,Moto,Masculino,32,0.0
2017-0069,Conductor,Moto,Masculino,39,0.0
2017-0070,Peaton,Peaton,Masculino,80,1.0
2017-0072,Conductor,Auto,Masculino,25,0.0
2017-0073,Conductor,Moto,Masculino,19,0.0
2017-0074,Sd,Sd,Masculino,70,0.0
2017-0075,Peaton,Peaton,Masculino,55,0.0
2017-0076,Peaton,Peaton,Femenino,30,0.0
2017-0077,Conductor,Moto,Femenino,60,1.0
2017-0079,Conductor,Moto,Masculino,33,0.0
2017-0080,Peaton,Peaton,Femenino,95,0.0
2017-0082,Peaton,Peaton,Masculino,36,0.0
2017-0083,Conductor,Moto,Masculino,37,0.0
2017-0084,Peaton,Peaton,Femenino,73,0.0
2017-0085,Peaton,Peaton,Masculino,84,0.0
2017-0086,Peaton,Peaton,Femenino,30,0.0
2017-0087,Peaton,Peaton,Femenino,73,0.0
2017-0088,Peaton,Peaton,Masculino,43,0.0
2017-0089,Sd,Sd,Masculino,23,Sd
2017-0090,Peaton,Peaton,Masculino,22,0.0
2017-0091,Conductor,Moto,Masculino,58,0.0
2017-0092,Peaton,Peaton,Masculino,66,0.0
2017-0093,Peaton,Peaton,Masculino,Sd,0.0
2017-0094,Ciclista,Bicicleta,Femenino,56,0.0
2017-0095,Conductor,Moto,Masculino,36,0.0
2017-0096,Peaton,Peaton,Masculino,87,0.0
2017-0098,Peaton,Peaton,Femenino,61,0.0
2017-0099,Ciclista,Bicicleta,Masculino,28,0.0
2017-0100,Pasajero_acompañante,Moto,Femenino,16,0.0
2017-0101,Peaton,Peaton,Femenino,61,0.0
2017-0102,Peaton,Peaton,Masculino,46,0.0
2017-0104,Peaton,Peaton,Femenino,18,0.0
2017-0106,Peaton,Peaton,Femenino,85,0.0
2017-0107,Conductor,Moto,Masculino,41,0.0
2017-0108,Pasajero_acompañante,Auto,Masculino,17,0.0
2017-0108,Pasajero_acompañante,Auto,Masculino,10,0.0
2017-0109,Conductor,Moto,Masculino,21,1.0
2017-0110,Peaton,Peaton,Masculino,56,1.0
2017-0111,Peaton,Peaton,Femenino,79,0.0
2017-0112,Pasajero_acompañante,Auto,Masculino,1,Sd
2017-0112,Pasajero_acompañante,Auto,Masculino,Sd,3.0
2017-0113,Peaton,Peaton,Femenino,76,0.0
2017-0114,Conductor,Auto,Masculino,26,0.0
2017-0115,Conductor,Moto,Masculino,34,Sd
2017-0116,Conductor,Moto,Masculino,22,0.0
2017-0118,Pasajero_acompañante,Moto,Femenino,26,7.0
2017-0120,Conductor,Moto,Masculino,20,0.0
2017-0123,Peaton,Peaton,Femenino,36,0.0
2017-0124,Conductor,Moto,Masculino,51,0.0
2017-0125,Conductor,Moto,Masculino,29,0.0
2017-0126,Pasajero_acompañante,Auto,Masculino,39,Sd
2017-0126,Conductor,Auto,Masculino,36,0.0
2017-0127,Pasajero_acompañante,Moto,Masculino,24,0.0
2017-0128,Peaton,Peaton,Femenino,60,0.0
2017-0129,Conductor,Moto,Masculino,57,0.0
2017-0130,Conductor,Auto,Masculino,23,0.0
2017-0132,Conductor,Moto,Masculino,23,0.0
2017-0134,Peaton,Peaton,Femenino,47,0.0
2017-0135,Conductor,Moto,Masculino,24,0.0
2017-0136,Peaton,Peaton,Masculino,55,0.0
2017-0137,Peaton,Peaton,Femenino,60,0.0
2017-0138,Pasajero_acompañante,Moto,Masculino,25,0.0
2017-0139,Pasajero_acompañante,Auto,Femenino,15,0.0
2017-0140,Conductor,Moto,Masculino,24,0.0
2017-0141,Peaton,Peaton,Femenino,22,0.0
2017-0143,Conductor,Auto,Masculino,50,0.0
2017-0144,Pasajero_acompañante,Auto,Femenino,50,0.0
2017-0145,Conductor,Moto,Masculino,58,0.0
2017-0147,Conductor,Moto,Masculino,49,0.0
2017-0148,Peaton,Peaton,Femenino,82,0.0
2017-0149,Peaton,Peaton,Masculino,13,0.0
2017-0150,Peaton,Peaton,Masculino,56,0.0
2017-0151,Peaton,Peaton,Masculino,Sd,0.0
2017-0152,Ciclista,Bicicleta,Masculino,19,0.0
2017-0153,Pasajero_acompañante,Moto,Masculino,Sd,1.0
2017-0153,Conductor,Moto,Masculino,30,1.0
2017-0154,Peaton,Peaton,Masculino,76,0.0
2017-0155,Sd,Sd,Masculino,77,Sd
2017-0157,Conductor,Auto,Masculino,53,0.0
2017-0158,Conductor,Moto,Masculino,32,0.0
2017-0159,Conductor,Moto,Masculino,27,0.0
2017-0160,Peaton,Peaton,Femenino,30,0.0
2017-0161,Peaton,Peaton,Femenino,30,0.0
2018-0001,Peaton,Peaton,Masculino,83,1.0
2018-0002,Ciclista,Bicicleta,Femenino,26,0.0
2018-0003,Peaton,Peaton,Femenino,58,0.0
2018-0004,Conductor,Moto,Masculino,39,0.0
2018-0005,Peaton,Peaton,Masculino,54,0.0
2018-0006,Ciclista,Bicicleta,Femenino,45,0.0
2018-0007,Conductor,Auto,Masculino,46,0.0
2018-0008,Conductor,Moto,Femenino,32,0.0
2018-0009,Conductor,Moto,Masculino,19,0.0
2018-0010,Conductor,Moto,Masculino,40,0.0
2018-0011,Peaton,Peaton,Masculino,84,0.0
2018-0012,Conductor,Moto,Masculino,20,0.0
2018-0013,Conductor,Moto,Masculino,44,0.0
2018-0014,Peaton,Peaton,Masculino,Sd,4.0
2018-0015,Conductor,Moto,Masculino,28,0.0
2018-0015,Pasajero_acompañante,Moto,Masculino,19,0.0
2018-0016,Conductor,Moto,Masculino,31,0.0
2018-0017,Peaton,Peaton,Masculino,35,3.0
2018-0018,Conductor,Moto,Masculino,26,0.0
2018-0019,Peaton,Peaton,Femenino,80,0.0
2018-0020,Conductor,Moto,Masculino,26,0.0
2018-0021,Peaton,Peaton,Femenino,62,0.0
2018-0022,Conductor,Moto,Masculino,28,0.0
2018-0023,Conductor,Moto,Masculino,28,0.0
2018-0024,Peaton,Peaton,Masculino,70,0.0
2018-0025,Peaton,Peaton,Masculino,70,1.0
2018-0026,Conductor,Movil,Masculino,24,0.0
2018-0026,Pasajero_acompañante,Movil,Masculino,30,0.0
2018-0027,Peaton,Peaton,Femenino,74,0.0
2018-0028,Peaton,Peaton,Masculino,71,0.0
2018-0029,Conductor,Moto,Masculino,26,0.0
2018-0030,Conductor,Moto,Masculino,24,0.0
2018-0031,Conductor,Moto,Masculino,31,0.0
2018-0032,Peaton,Peaton,Masculino,70,0.0
2018-0033,Conductor,Moto,Femenino,42,3.0
2018-0034,Peaton,Peaton,Masculino,24,0.0
2018-0035,Peaton,Peaton,Femenino,39,0.0
2018-0036,Conductor,Moto,Masculino,37,2.0
2018-0037,Peaton,Peaton,Masculino,84,1.0
2018-0038,Peaton,Peaton,Femenino,59,0.0
2018-0038,Peaton,Peaton,Masculino,61,0.0
2018-0039,Peaton,Peaton,Masculino,37,0.0
2018-0040,Peaton,Peaton,Femenino,Sd,0.0
2018-0041,Peaton,Peaton,Femenino,78,0.0
2018-0042,Pasajero_acompañante,Moto,Masculino,23,0.0
2018-0043,Conductor,Moto,Masculino,25,1.0
2018-0044,Peaton,Peaton,Femenino,50,0.0
2018-0045,Conductor,Auto,Masculino,60,0.0
2018-0046,Peaton,Peaton,Masculino,11,0.0
2018-0047,Peaton,Peaton,Masculino,82,1.0
2018-0048,Peaton,Peaton,Masculino,57,7.0
2018-0049,Peaton,Peaton,Femenino,40,2.0
2018-0050,Peaton,Peaton,Femenino,47,10.0
2018-0051,Peaton,Peaton,Femenino,57,0.0
2018-0052,Peaton,Peaton,Masculino,78,1.0
2018-0053,Conductor,Moto,Masculino,43,0.0
2018-0054,Peaton,Peaton,Femenino,86,3.0
2018-0055,Conductor,Moto,Masculino,21,0.0
2018-0056,Peaton,Peaton,Femenino,69,2.0
2018-0057,Conductor,Moto,Masculino,33,1.0
2018-0058,Conductor,Moto,Masculino,26,10.0
2018-0059,Conductor,Moto,Masculino,54,0.0
2018-0060,Peaton,Peaton,Masculino,51,0.0
2018-0061,Conductor,Moto,Masculino,51,0.0
2018-0062,Peaton,Peaton,Masculino,32,0.0
2018-0063,Peaton,Peaton,Femenino,28,1.0
2018-0064,Conductor,Auto,Masculino,30,0.0
2018-0065,Conductor,Moto,Masculino,35,0.0
2018-0066,Peaton,Peaton,Masculino,73,0.0
2018-0067,Pasajero_acompañante,Pasajeros,Femenino,81,7.0
2018-0068,Conductor,Moto,Masculino,21,0.0
2018-0069,Ciclista,Bicicleta,Masculino,20,0.0
2018-0070,Conductor,Moto,Masculino,33,0.0
