Id_hecho,Rol,Víctima,Sexo,Edad,Días_de_muerte_post_accidente
2018-0071,Conductor,Moto,Masculino,Sd,0.0
2018-0072,Conductor,Moto,Masculino,27,2.0
2018-0073,Peaton,Peaton,Femenino,67,0.0
2018-0074,Conductor,Auto,Masculino,25,0.0
2018-0075,Peaton,Peaton,Masculino,23,0.0
2018-0076,Conductor,Auto,Masculino,73,0.0
2018-0077,Conductor,Auto,Masculino,58,1.0
2018-0078,Peaton,Peaton,Masculino,27,0.0
2018-0079,Peaton,Peaton,Masculino,Sd,0.0
2018-0080,Peaton,Peaton,Masculino,26,0.0
2018-0081,Peaton,Peaton,Masculino,35,0.0
2018-0082,Conductor,Moto,Femenino,17,0.0
2018-0083,Conductor,Moto,Masculino,Sd,0.0
2018-0084,Peaton,Peaton,Masculino,45,0.0
2018-0085,Pasajero_acompañante,Moto,Femenino,22,0.0
2018-0085,Conductor,Moto,Masculino,30,0.0
2018-0086,Peaton,Peaton,Masculino,40,0.0
2018-0087,Peaton,Peaton,Masculino,75,5.0
2018-0088,Conductor,Moto,Masculino,Sd,0.0
2018-0089,Peaton,Peaton,Masculino,80,0.0
2018-0090,Conductor,Moto,Masculino,27,0.0
2018-0091,Pasajero_acompañante,Auto,Femenino,23,0.0
2018-0092,Conductor,Moto,Masculino,23,0.0
2018-0093,Peaton,Peaton,Masculino,24,0.0
2018-0094,Conductor,Moto,Masculino,32,0.0
2018-0095,Pasajero_acompañante,Auto,Femenino,49,0.0
2018-0096,Peaton,Peaton,Masculino,39,0.0
2018-0097,Conductor,Auto,Femenino,35,0.0
2018-0098,Conductor,Auto,Masculino,55,0.0
2018-0098,Pasajero_acompañante,Auto,Masculino,54,0.0
2018-0099,Peaton,Peaton,Masculino,18,1.0
2018-0100,Sd,Moto,Femenino,33,0.0
2018-0101,Conductor,Auto,Masculino,Sd,0.0
2018-0102,Conductor,Moto,Masculino,20,0.0
2018-0103,Peaton,Peaton,Masculino,1,2.0
2018-0104,Conductor,Moto,Masculino,22,0.0
2018-0105,Peaton,Peaton,Femenino,56,0.0
2018-0106,Conductor,Moto,Masculino,27,0.0
2018-0107,Peaton,Peaton,Femenino,62,0.0
2018-0108,Conductor,Moto,Masculino,37,1.0
2018-0109,Peaton,Peaton,Masculino,34,0.0
2018-0110,Peaton,Peaton,Masculino,60,1.0
2018-0111,Conductor,Moto,Masculino,28,0.0
2018-0112,Conductor,Moto,Femenino,28,0.0
2018-0113,Conductor,Moto,Masculino,20,0.0
2018-0114,Conductor,Moto,Masculino,23,0.0
2018-0115,Peaton,Peaton,Masculino,42,1.0
2018-0116,Peaton,Peaton,Masculino,48,7.0
2018-0117,Conductor,Moto,Masculino,30,4.0
2018-0118,Peaton,Peaton,Femenino,80,0.0
2018-0119,Peaton,Peaton,Femenino,32,1.0
2018-0120,Peaton,Peaton,Femenino,51,11.0
2018-0121,Peaton,Peaton,Femenino,72,0.0
2018-0122,Conductor,Auto,Masculino,33,0.0
2018-0123,Conductor,Auto,Masculino,25,0.0
2018-0124,Conductor,Cargas,Masculino,44,0.0
2018-0125,Peaton,Peaton,Masculino,29,1.0
2018-0126,Conductor,Moto,Masculino,27,5.0
2018-0127,Conductor,Moto,Masculino,29,0.0
2018-0128,Pasajero_acompañante,Auto,Masculino,49,0.0
2018-0128,Pasajero_acompañante,Auto,Femenino,39,0.0
2018-0129,Conductor,Moto,Masculino,37,2.0
2018-0130,Conductor,Moto,Masculino,Sd,0.0
2018-0131,Conductor,Moto,Masculino,29,0.0
2018-0132,Peaton,Peaton,Masculino,70,0.0
2018-0133,Peaton,Peaton,Femenino,60,0.0
2018-0134,Peaton,Peaton,Masculino,56,1.0
2018-0135,Peaton,Peaton,Masculino,80,4.0
2018-0136,Peaton,Peaton,Femenino,70,0.0
2018-0137,Pasajero_acompañante,Moto,Masculino,29,1.0
2018-0138,Pasajero_acompañante,Pasajeros,Femenino,79,0.0
2018-0139,Pasajero_acompañante,Moto,Masculino,28,2.0
2018-0140,Conductor,Auto,Masculino,78,0.0
2018-0141,Peaton,Peaton,Masculino,75,2.0
2018-0142,Pasajero_acompañante,Cargas,Masculino,32,7.0
2018-0143,Conductor,Moto,Masculino,22,0.0
2019-0001,Conductor,Moto,Masculino,25,0.0
2019-0002,Conductor,Auto,Masculino,32,0.0
2019-0003,Conductor,Moto,Masculino,23,0.0
2019-0004,Conductor,Auto,Masculino,71,0.0
2019-0005,Conductor,Moto,Masculino,43,0.0
2019-0006,Peaton,Peaton,Femenino,12,0.0
2019-0007,Conductor,Moto,Masculino,35,0.0
2019-0008,Conductor,Moto,Masculino,42,1.0
2019-0009,Conductor,Moto,Masculino,34,0.0
2019-0010,Peaton,Peaton,Masculino,Sd,0.0
2019-0010,Peaton,Peaton,Masculino,59,0.0
2019-0011,Peaton,Peaton,Masculino,Sd,0.0
2019-0012,Conductor,Moto,Masculino,31,3.0
2019-0013,Peaton,Peaton,Masculino,39,10.0
2019-0014,Conductor,Moto,Masculino,69,0.0
2019-0015,Conductor,Auto,Masculino,21,0.0
2019-0016,Conductor,Moto,Masculino,40,0.0
2019-0017,Conductor,Auto,Masculino,22,4.0
2019-0018,Peaton,Peaton,Femenino,29,0.0
2019-0019,Conductor,Moto,Masculino,Sd,20.0
2019-0020,Conductor,Moto,Masculino,43,0.0
2019-0021,Conductor,Moto,Masculino,23,1.0
2019-0022,Pasajero_acompañante,Auto,Masculino,Sd,0.0
2019-0023,Conductor,Auto,Masculino,34,0.0
2019-0024,Conductor,Moto,Masculino,32,0.0
2019-0025,Peaton,Peaton,Masculino,27,13.0
2019-0026,Peaton,Peaton,Masculino,Sd,0.0
2019-0027,Ciclista,Bicicleta,Masculino,37,0.0
2019-0028,Peaton,Peaton,Femenino,Sd,0.0
2019-0029,Conductor,Moto,Masculino,27,0.0
2019-0030,Conductor,Moto,Masculino,25,0.0
2019-0031,Ciclista,Bicicleta,Masculino,20,0.0
2019-0032,Peaton,Peaton,Femenino,83,2.0
2019-0033,Conductor,Moto,Masculino,25,0.0
2019-0034,Conductor,Moto,Masculino,Sd,0.0
2019-0035,Peaton,Peaton,Femenino,75,0.0
2019-0036,Conductor,Moto,Masculino,34,6.0
2019-0037,Conductor,Moto,Masculino,17,0.0
2019-0038,Peaton,Peaton,Femenino,42,1.0
2019-0105,Peaton,Peaton,Femenino,82,3.0
2019-0039,Conductor,Moto,Masculino,28,0.0
2019-0040,Conductor,Moto,Masculino,44,6.0
2019-0041,Pasajero_acompañante,Auto,Femenino,78,0.0
2019-0042,Peaton,Peaton,Masculino,39,0.0
2019-0043,Ciclista,Bicicleta,Femenino,Sd,0.0
2019-0044,Peaton,Peaton,Femenino,77,2.0
2019-0045,Conductor,Moto,Masculino,33,0.0
2019-0046,Pasajero_acompañante,Moto,Femenino,26,0.0
2019-0047,Peaton,Peaton,Masculino,76,0.0
2019-0048,Conductor,Moto,Masculino,32,0.0
2019-0049,Peaton,Peaton,Femenino,72,1.0
2019-0050,Conductor,Moto,Masculino,21,1.0
2019-0051,Conductor,Moto,Masculino,41,0.0
2019-0053,Pasajero_acompañante,Auto,Masculino,49,0.0
2019-0054,Conductor,Moto,Masculino,21,0.0
2019-0055,Conductor,Moto,Masculino,47,1.0
2019-0056,Peaton,Peaton,Femenino,75,0.0
2019-0057,Peaton,Peaton,Femenino,63,3.0
2019-0058,Conductor,Moto,Masculino,39,0.0
2019-0059,Conductor,Moto,Masculino,30,0.0
2019-0060,Peaton,Peaton,Femenino,78,0.0
2019-0061,Peaton,Peaton,Femenino,58,0.0
2019-0062,Peaton,Peaton,Femenino,60,1.0
2019-0063,Pasajero_acompañante,Moto,Masculino,Sd,0.0
2019-0064,Conductor,Moto,Masculino,20,0.0
2019-0065,Peaton,Peaton,Femenino,55,1.0
2019-0066,Peaton,Peaton,Masculino,40,0.0
2019-0067,Conductor,Moto,Masculino,35,0.0
2019-0068,Conductor,Moto,Masculino,53,0.0
2019-0069,Conductor,Moto,Masculino,43,0.0
2019-0070,Conductor,Moto,Masculino,25,0.0
2019-0071,Peaton,Peaton,Masculino,Sd,0.0
2019-0072,Conductor,Auto,Masculino,22,5.0
2019-0073,Conductor,Auto,Masculino,29,8.0
2019-0074,Conductor,Moto,Masculino,35,0.0
2019-0075,Conductor,Moto,Masculino,31,0.0
2019-0076,Conductor,Moto,Femenino,29,0.0
2019-0077,Peaton,Peaton,Femenino,28,0.0
2019-0078,Peaton,Peaton,Femenino,72,3.0
2019-0079,Conductor,Moto,Masculino,57,0.0
2019-0080,Peaton,Peaton,Masculino,76,0.0
2019-0081,Peaton,Peaton,Masculino,67,14.0
2019-0082,Ciclista,Bicicleta,Masculino,47,0.0
2019-0083,Conductor,Auto,Masculino,73,0.0
2019-0084,Ciclista,Bicicleta,Femenino,40,0.0
2019-0085,Ciclista,Bicicleta,Masculino,20,0.0
2019-0086,Conductor,Moto,Masculino,29,0.0
2019-0087,Conductor,Moto,Masculino,41,0.0
2019-0088,Peaton,Peaton,Masculino,27,0.0
2019-0089,Peaton,Peaton,Femenino,92,0.0
2019-0090,Peaton,Peaton,Masculino,67,2.0
2019-0091,Peaton,Peaton,Masculino,35,0.0
2019-0092,Peaton,Peaton,Masculino,37,0.0
2019-0093,Ciclista,Bicicleta,Masculino,16,0.0
2019-0094,Pasajero_acompañante,Moto,Femenino,Sd,0.0
2019-0095,Conductor,Moto,Masculino,Sd,0.0
2019-0096,Peaton,Peaton,Masculino,73,0.0
2019-0097,Pasajero_acompañante,Moto,Femenino,23,0.0
2019-0098,Pasajero_acompañante,Pasajeros,Femenino,61,4.0
2019-0100,Conductor,Moto,Masculino,38,13.0
2019-0101,Conductor,Moto,Masculino,25,0.0
2019-0102,Conductor,Moto,Masculino,18,1.0
2019-0103,Conductor,Moto,Masculino,24,0.0
2019-0104,Pasajero_acompañante,Moto,Femenino,23,1.0
2020-0001,Peaton,Peaton,Femenino,87,0.0
2020-0002,Conductor,Moto,Masculino,36,2.0
2020-0003,Peaton,Peaton,Masculino,44,0.0
2020-0004,Peaton,Peaton,Masculino,82,1.0
2020-0005,Conductor,Moto,Masculino,25,27.0
2020-0006,Conductor,Moto,Masculino,23,0.0
2020-0007,Peaton,Peaton,Masculino,52,0.0
2020-0008,Conductor,Moto,Masculino,49,0.0
2020-0009,Peaton,Peaton,Masculino,48,1.0
2020-0010,Conductor,Moto,Masculino,Sd,0.0
2020-0011,Conductor,Moto,Masculino,31,0.0
2020-0012,Peaton,Peaton,Femenino,66,0.0
2020-0013,Peaton,Peaton,Femenino,58,12.0
2020-0014,Conductor,Moto,Masculino,Sd,0.0
2020-0015,Conductor,Moto,Masculino,29,0.0
2020-0016,Peaton,Peaton,Masculino,68,9.0
2020-0017,Peaton,Peaton,Masculino,Sd,0.0
2020-0018,Conductor,Moto,Masculino,31,0.0
2020-0019,Peaton,Peaton,Femenino,80,0.0
2020-0020,Peaton,Peaton,Femenino,74,4.0
2020-0021,Peaton,Peaton,Femenino,87,0.0
2020-0022,Pasajero_acompañante,Auto,Masculino,44,0.0
2020-0023,Conductor,Auto,Masculino,44,24.0
2020-0024,Conductor,Auto,Masculino,53,0.0
2020-0025,Peaton,Peaton,Masculino,Sd,0.0
2020-0026,Conductor,Moto,Masculino,28,0.0
2020-0027,Peaton,Peaton,Masculino,76,0.0
2020-0028,Peaton,Peaton,Masculino,91,4.0
2020-0029,Peaton,Peaton,Masculino,80,2.0
2020-0030,Conductor,Moto,Masculino,40,0.0
2020-0031,Conductor,Moto,Masculino,29,0.0
2020-0032,Conductor,Moto,Masculino,21,0.0
2020-0033,Conductor,Auto,Masculino,32,0.0
2020-0034,Peaton,Peaton,Femenino,Sd,0.0
2020-0035,Conductor,Moto,Masculino,40,0.0
2020-0036,Peaton,Peaton,Masculino,72,15.0
2020-0037,Peaton,Peaton,Masculino,38,0.0
2020-0038,Conductor,Auto,Masculino,46,0.0
2020-0038,Conductor,Auto,Masculino,64,0.0
2020-0039,Peaton,Peaton,Masculino,44,0.0
2020-0040,Conductor,Auto,Masculino,Sd,0.0
2020-0041,Conductor,Moto,Masculino,34,0.0
2020-0042,Peaton,Peaton,Femenino,53,0.0
2020-0043,Peaton,Peaton,Masculino,64,0.0
2020-0044,Conductor,Auto,Masculino,43,0.0
2020-0045,Conductor,Auto,Masculino,50,0.0
2020-0046,Conductor,Moto,Masculino,41,0.0
2020-0047,Peaton,Peaton,Masculino,15,0.0
2020-0048,Conductor,Moto,Masculino,41,0.0
2020-0049,Peaton,Peaton,Masculino,36,0.0
2020-0050,Peaton,Peaton,Femenino,28,0.0
2020-0051,Conductor,Moto,Masculino,49,0.0
2020-0052,Ciclista,Bicicleta,Masculino,44,0.0
2020-0053,Pasajero_acompañante,Auto,Masculino,27,0.0
2020-0054,Ciclista,Bicicleta,Masculino,59,4.0
2020-0055,Peaton,Peaton,Masculino,91,22.0
2020-0056,Conductor,Moto,Femenino,34,0.0
2020-0057,Peaton,Peaton,Masculino,84,0.0
2020-0058,Peaton,Peaton,Masculino,57,1.0
2020-0059,Peaton,Peaton,Femenino,49,13.0
2020-0060,Peaton,Peaton,Femenino,69,0.0
2020-0061,Conductor,Moto,Masculino,45,1.0
2020-0062,Ciclista,Bicicleta,Masculino,47,0.0
2020-0063,Peaton,Peaton,Masculino,38,0.0
2020-0063,Pasajero_acompañante,Moto,Masculino,21,0.0
2020-0065,Conductor,Moto,Masculino,24,1.0
2020-0066,Conductor,Moto,Masculino,27,0.0
2020-0067,Peaton,Peaton,Masculino,51,0.0
2020-0068,Conductor,Moto,Masculino,71,8.0
2020-0069,Pasajero_acompañante,Moto,Masculino,25,0.0
2020-0070,Peaton,Peaton,Femenino,81,5.0
2020-0071,Peaton,Peaton,Masculino,4,0.0
2020-0072,Ciclista,Bicicleta,Masculino,42,0.0
2020-0073,Conductor,Moto,Masculino,56,0.0
2020-0074,Conductor,Auto,Masculino,39,0.0
2020-0075,Peaton,Peaton,Masculino,23,0.0
2020-0076,Conductor,Auto,Femenino,78,24.0
2020-0077,Conductor,Moto,Femenino,30,0.0
2020-0077,Pasajero_acompañante,Moto,Femenino,24,0.0
2020-0078,Ciclista,Bicicleta,Masculino,26,0.0
2020-0079,Conductor,Moto,Masculino,28,0.0
2021-0001,Conductor,Moto,Masculino,36,0.0
2021-0002,Conductor,Moto,Femenino,47,0.0
2021-0003,Conductor,Moto,Masculino,27,0.0
2021-0004,Peaton,Peaton,Femenino,61,0.0
2021-0005,Peaton,Peaton,Masculino,73,3.0
2021-0006,Pasajero_acompañante,Moto,Femenino,23,0.0
2021-0007,Conductor,Moto,Masculino,84,8.0
2021-0008,Peaton,Peaton,Masculino,28,0.0
2021-0009,Conductor,Moto,Masculino,31,0.0
2021-0010,Conductor,Moto,Masculino,28,0.0
2021-0011,Peaton,Peaton,Masculino,21,0.0
2021-0012,Peaton,Peaton,Masculino,Sd,0.0
2021-0013,Conductor,Moto,Masculino,41,0.0
2021-0014,Peaton,Peaton,Masculino,28,16.0
2021-0015,Conductor,Moto,Masculino,26,0.0
2021-0016,Conductor,Auto,Masculino,22,0.0
2021-0017,Conductor,Moto,Masculino,33,0.0
2021-0018,Peaton,Peaton,Masculino,36,16.0
2021-0019,Conductor,Moto,Masculino,30,0.0
2021-0020,Peaton,Peaton,Femenino,Sd,0.0
2021-0021,Conductor,Moto,Masculino,39,6.0
2021-0022,Pasajero_acompañante,Pasajeros,Masculino,68,6.0
2021-0023,Conductor,Moto,Masculino,24,0.0
2021-0024,Ciclista,Bicicleta,Masculino,5,0.0
2021-0025,Conductor,Moto,Masculino,37,0.0
2021-0026,Conductor,Moto,Masculino,36,0.0
2021-0027,Conductor,Moto,Femenino,19,0.0
2021-0028,Peaton,Peaton,Masculino,Sd,0.0
2021-0029,Conductor,Auto,Masculino,26,2.0
2021-0030,Peaton,Peaton,Masculino,36,4.0
2021-0031,Peaton,Peaton,Femenino,68,4.0
2021-0032,Peaton,Peaton,Masculino,60,19.0
2021-0033,Conductor,Auto,Masculino,33,0.0
2021-0034,Pasajero_acompañante,Moto,Femenino,26,0.0
2021-0035,Conductor,Moto,Masculino,24,0.0
2021-0036,Conductor,Moto,Masculino,36,0.0
2021-0037,Peaton,Peaton,Femenino,58,0.0
2021-0038,Conductor,Moto,Femenino,44,0.0
2021-0039,Ciclista,Bicicleta,Masculino,86,21.0
2021-0040,Conductor,Moto,Masculino,27,0.0
2021-0041,Peaton,Peaton,Masculino,75,0.0
2021-0042,Peaton,Peaton,Masculino,39,0.0
2021-0043,Peaton,Peaton,Masculino,50,0.0
2021-0044,Pasajero_acompañante,Moto,Masculino,21,0.0
2021-0045,Conductor,Moto,Masculino,22,0.0
2021-0046,Pasajero_acompañante,Auto,Masculino,20,0.0
2021-0047,Conductor,Moto,Masculino,59,0.0
2021-0048,Ciclista,Bicicleta,Masculino,44,20.0
2021-0049,Conductor,Auto,Masculino,74,0.0
2021-0050,Conductor,Moto,Masculino,56,0.0
2021-0051,Peaton,Peaton,Masculino,73,1.0
2021-0052,Pasajero_acompañante,Moto,Femenino,19,0.0
2021-0053,Peaton,Peaton,Masculino,58,10.0
2021-0054,Conductor,Moto,Masculino,41,0.0
2021-0055,Pasajero_acompañante,Moto,Masculino,47,0.0
2021-0056,Ciclista,Bicicleta,Masculino,60,0.0
2021-0057,Conductor,Auto,Masculino,46,0.0
2021-0058,Peaton,Peaton,Masculino,24,0.0
2021-0059,Pasajero_acompañante,Auto,Femenino,44,0.0
2021-0060,Peaton,Peaton,Femenino,80,0.0
2021-0061,Peaton,Peaton,Femenino,55,0.0
2021-0062,Conductor,Auto,Masculino,73,0.0
2021-0063,Pasajero_acompañante,Auto,Femenino,31,0.0
2021-0064,Peaton,Peaton,Masculino,37,1.0
2021-0065,Peaton,Peaton,Femenino,63,4.0
2021-0066,Peaton,Peaton,Masculino,59,3.0
2021-0067,Conductor,Moto,Masculino,27,0.0
2021-0068,Conductor,Moto,Masculino,39,0.0
2021-0069,Peaton,Peaton,Masculino,17,1.0
2021-0070,Conductor,Moto,Masculino,31,0.0
2021-0071,Peaton,Peaton,Masculino,88,1.0
2021-0072,Peaton,Peaton,Femenino,57,0.0
2021-0073,Ciclista,Bicicleta,Femenino,76,0.0
2021-0074,Conductor,Moto,Masculino,55,0.0
2021-0075,Peaton,Peaton,Masculino,65,0.0
2021-0076,Conductor,Moto,Masculino,31,0.0
2021-0077,Conductor,Moto,Femenino,31,0.0
2021-0078,Conductor,Moto,Masculino,22,0.0
2021-0079,Peaton,Peaton,Masculino,Sd,0.0
2021-0080,Conductor,Moto,Masculino,32,0.0
2021-0081,Conductor,Moto,Masculino,26,0.0
2021-0082,Conductor,Moto,Masculino,38,0.0
2021-0083,Conductor,Moto,Masculino,30,0.0
2021-0084,Conductor,Auto,Masculino,32,0.0
2021-0097,Ciclista,Bicicleta,Masculino,53,1.0
2021-0085,Conductor,Moto,Masculino,49,0.0
2021-0086,Peaton,Peaton,Masculino,75,0.0
2021-0087,Peaton,Peaton,Femenino,73,0.0
2021-0088,Conductor,Moto,Masculino,45,6.0
2021-0089,Conductor,Moto,Masculino,41,9.0
2021-0090,Peaton,Peaton,Masculino,73,24.0
2021-0091,Conductor,Moto,Masculino,24,0.0
2021-0092,Peaton,Peaton,Femenino,50,0.0
2021-0093,Pasajero_acompañante,Moto,Femenino,18,5.0
2021-0094,Pasajero_acompañante,Moto,Femenino,43,0.0
2021-0095,Conductor,Moto,Masculino,27,3.0
2021-0096,Conductor,Auto,Masculino,60,5.0
